TV,Radio,Jornal,Vendas,Nova Coluna,Media Vendas
230.1,37.8,69.2,22.1,44.2,112.36666666666666
44.5,39.3,45.1,10.4,20.8,42.96666666666667
17.2,45.9,69.3,12.0,24.0,44.133333333333326
151.5,41.3,58.5,16.5,33.0,83.76666666666667
180.8,10.8,58.4,17.9,35.8,83.33333333333334
8.7,48.9,75.0,7.2,14.4,44.199999999999996
57.5,32.8,23.5,11.8,23.6,37.93333333333333
120.2,19.6,11.6,13.2,26.4,50.46666666666667
8.6,2.1,1.0,4.8,9.6,3.9
199.8,2.6,21.2,15.6,31.2,74.53333333333333
66.1,5.8,24.2,12.6,25.2,32.03333333333333
214.7,24.0,4.0,17.4,34.8,80.89999999999999
23.8,35.1,65.9,9.2,18.4,41.6
97.5,7.6,7.2,13.7,27.4,37.43333333333333
204.1,32.9,46.0,19.0,38.0,94.33333333333333
195.4,47.7,52.9,22.4,44.8,98.66666666666667
67.8,36.6,114.0,12.5,25.0,72.8
281.4,39.6,55.8,24.4,48.8,125.60000000000001
69.2,20.5,18.3,11.3,22.6,36.0
147.3,23.9,19.1,14.6,29.2,63.43333333333334
218.4,27.7,53.4,18.0,36.0,99.83333333333333
237.4,5.1,23.5,17.5,35.0,88.66666666666667
13.2,15.9,49.6,5.6,11.2,26.233333333333334
228.3,16.9,26.2,20.5,41.0,90.46666666666668
62.3,12.6,18.3,9.7,19.4,31.066666666666663
262.9,3.5,19.5,17.0,34.0,95.3
142.9,29.3,12.6,15.0,30.0,61.6
240.1,16.7,22.9,20.9,41.8,93.23333333333333
248.8,27.1,22.9,18.9,37.8,99.60000000000001
70.6,16.0,40.8,10.5,21.0,42.46666666666666
292.9,28.3,43.2,21.4,42.8,121.46666666666665
112.9,17.4,38.6,11.9,23.8,56.300000000000004
97.2,1.5,30.0,13.2,26.4,42.9
265.6,20.0,0.3,17.4,34.8,95.30000000000001
95.7,1.4,7.4,11.9,23.8,34.833333333333336
290.7,4.1,8.5,17.8,35.6,101.10000000000001
266.9,43.8,5.0,25.4,50.8,105.23333333333333
74.7,49.4,45.7,14.7,29.4,56.6
43.1,26.7,35.1,10.1,20.2,34.96666666666667
228.0,37.7,32.0,21.5,43.0,99.23333333333333
202.5,22.3,31.6,16.6,33.2,85.46666666666668
177.0,33.4,38.7,17.1,34.2,83.03333333333335
293.6,27.7,1.8,20.7,41.4,107.7
206.9,8.4,26.4,17.9,35.8,80.56666666666668
25.1,25.7,43.3,8.5,17.0,31.366666666666664
175.1,22.5,31.5,16.1,32.2,76.36666666666666
89.7,9.9,35.7,10.6,21.2,45.1
239.9,41.5,18.5,23.2,46.4,99.96666666666665
227.2,15.8,49.9,19.8,39.6,97.63333333333333
66.9,11.7,36.8,9.7,19.4,38.46666666666667
199.8,3.1,34.6,16.4,32.8,79.16666666666667
100.4,9.6,3.6,10.7,21.4,37.86666666666667
216.4,41.7,39.6,22.6,45.2,99.23333333333335
182.6,46.2,58.7,21.2,42.4,95.83333333333333
262.7,28.8,15.9,20.2,40.4,102.46666666666665
198.9,49.4,60.0,23.7,47.4,102.76666666666667
7.3,28.1,41.4,5.5,11.0,25.599999999999998
136.2,19.2,16.6,13.2,26.4,57.33333333333332
210.8,49.6,37.7,23.8,47.6,99.36666666666667
210.7,29.5,9.3,18.4,36.8,83.16666666666667
53.5,2.0,21.4,8.1,16.2,25.633333333333336
261.3,42.7,54.7,24.2,48.4,119.56666666666666
239.3,15.5,27.3,20.7,41.4,94.03333333333335
102.7,29.6,8.4,14.0,28.0,46.900000000000006
131.1,42.8,28.9,16.0,32.0,67.6
69.0,9.3,0.9,11.3,22.6,26.400000000000002
31.5,24.6,2.2,11.0,22.0,19.433333333333334
139.3,14.5,10.2,13.4,26.8,54.666666666666664
237.4,27.5,11.0,18.9,37.8,91.96666666666665
216.8,43.9,27.2,22.3,44.6,95.96666666666665
199.1,30.6,38.7,18.3,36.6,89.46666666666665
109.8,14.3,31.7,12.4,24.8,51.93333333333333
26.8,33.0,19.3,8.8,17.6,26.366666666666664
129.4,5.7,31.3,11.0,22.0,55.46666666666667
213.4,24.6,13.1,17.0,34.0,83.7
16.9,43.7,89.4,8.7,17.4,50.0
27.5,1.6,20.7,6.9,13.8,16.599999999999998
120.5,28.5,14.2,14.2,28.4,54.4
5.4,29.9,9.4,5.3,10.6,14.899999999999999
116.0,7.7,23.1,11.0,22.0,48.93333333333334
76.4,26.7,22.3,11.8,23.6,41.800000000000004
239.8,4.1,36.9,17.3,34.6,93.60000000000001
75.3,20.3,32.5,11.3,22.6,42.699999999999996
68.4,44.5,35.6,13.6,27.2,49.5
213.5,43.0,33.8,21.7,43.4,96.76666666666667
